Created By,Reported On,Created On,Travel Time,Incident Id,Customer,Location,Contract,Priority,SLA,Servicing Team,Category,Service Type,Subject,Technician,Item Id,Incident Summary,Resolution Summary,Task Summary,Model No,Serial No,ATM ID,Part Number,Service Report No,Task ID,Task Description,Task Type,Task Status,Hours to be Billed,Status,Contact Person,Zone-wise,ATM Installation Date,ATM Age,No. of Years,Intervention Type,Intervention Time,Geo,Day of the Week,Group by Week,WEEKNUM,MONTH,YEAR,Time Taken,Start DateTime,End DateTime,Month
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113006,Bank 11,"La Croisette, Grand Baie",2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 4,1585.0,LA CROISETTE PKING CASH HANDLER ISSUE DATE 03/1/23,"Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Pick Arm Clean sensor & Clear Fault Run several test: completed successfully Issue with SCPM Shutdown machine Dismantle module Remove Note Jam Inside mechanism Restart application Run several test: completed successfully","Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Pick Arm Clean sensor & Clear Fault Run several test: completed successfully Issue with SCPM Shutdown machine Dismantle module Remove Note Jam Inside mechanism Restart application Run several test: completed successfully",6634 GBRU,13-44008483,3816,6634 GBRU,ATM - MCB SLA,13103.0,"Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Pick Arm Clean sensor & Clear Fault Run several test: completed successfully Issue with SCPM Shutdown machine Dismantle module Remove Note Jam Inside mechanism Restart application Run several test: completed successfully",Work Request,Closed,125.0,Closed,Contact MRU,Zone 4 (North&East),2008-11-28 00:00:00,14.90958904109589,15 Years old,ATM Interventions,Before 5PM,Mauritius,Tue,,,Jan,2023,02:05:00,2023-01-03 11:10:00,2023-01-03 13:15:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113007,Bank 11,Belle-Mare,2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,GBRU,Technician 4,1510.0,SUPER U GBAY M 3416 GBRU ISSUE MODEL 6634 DATE 03/1/23,"Issue with GBRU Trouble shoot: Issue Shutdown machine Dismantle module, Remove Note Jam Inside mechanism Fix mechanism properly & Clean all belt & Sensor. Restart Application Run several test: completed successfully","Issue with GBRU Trouble shoot: Issue Shutdown machine Dismantle module, Remove Note Jam Inside mechanism Fix mechanism properly & Clean all belt & Sensor. Restart Application Run several test: completed successfully",6626,83-46466314,3606,6626,ATM - MCB SLA,13106.0,"Issue with GBRU Trouble shoot: Issue Shutdown machine Dismantle module, Remove Note Jam Inside mechanism Fix mechanism properly & Clean all belt & Sensor. Restart Application Run several test: completed successfully",Work Request,Closed,125.0,Closed,Contact MRU,Zone 4 (North&East),2012-02-06 00:00:00,11.717808219178082,12 Years old,ATM Interventions,Before 5PM,Mauritius,Tue,,,Jan,2023,02:05:00,2023-01-03 13:30:00,2023-01-03 15:35:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,01:30,113008,Bank 11,Belle-Mare,2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Idle/Freeze,Technician 1,1510.0,SUPER U GBAY M 3416 ATM OUT OF SERVICE ISSUE DATE 02/1/23,REPAIR ATM. REPLACE MAIN POWER SUPPLY.,"Issue with GBRU Trouble shoot: Issue Shutdown machine Dismantle module, Remove Note Jam Inside mechanism Fix mechanism properly & Clean all belt & Sensor. Restart Application Run several test: completed successfully",6626,83-46466314,3606,6626,ATM - MCB SLA,12992.0,"Issue with GBRU Trouble shoot: Issue Shutdown machine Dismantle module, Remove Note Jam Inside mechanism Fix mechanism properly & Clean all belt & Sensor. Restart Application Run several test: completed successfully",Work Request,Closed,50.0,Closed,Contact MRU,Zone 4 (North&East),2012-02-06 00:00:00,11.717808219178082,12 Years old,ATM Interventions,Before 5PM,Mauritius,Mon,,,Jan,2023,00:50:00,2023-01-02 14:15:00,2023-01-02 15:05:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113009,Bank 11,Flacq,2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Card Reader,Technician 1,1555.0,FLACQ M 3106 CARD READER ISSUE DATE 01/1/23,Remove two cards jam in card reader. Run tests ok,Remove two cards jam in card reader. Run tests ok,6634 TOUCH GBRU CPM,94-57696931,3106,6634 TOUCH GBRU CPM,ATM - MCB SLA,13049.0,Remove two cards jam in card reader. Run tests ok,Work Request,Closed,40.0,Closed,Contact MRU,Zone 4 (North&East),2015-10-11 00:00:00,8.038356164383561,8 Years old,ATM Interventions,Before 5PM,Mauritius,Sun,,,Jan,2023,00:40:00,2023-01-01 15:00:00,2023-01-01 15:40:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113010,Bank 11,Jumbo Riche Terre,2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 1,1629.0,JUMBO R TERRE M 5701 CASH HANDLER ISSUE DATE 31/12/22,Change pick arm and gears on position 1 (Rs 100). Clean sensors and belts. Run tests ok,Change pick arm and gears on position 1 (Rs 100). Clean sensors and belts. Run tests ok,6626,83-46468508,5701,6626,ATM - MCB SLA,13050.0,Change pick arm and gears on position 1 (Rs 100). Clean sensors and belts. Run tests ok,Work Request,Closed,75.0,Closed,Contact MRU,Zone 4 (North&East),2019-11-23 00:00:00,3.9178082191780823,4 Years old,ATM Interventions,Before 5PM,Mauritius,Sat,,,Dec,2022,01:15:00,2022-12-31 10:45:00,2022-12-31 12:00:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113011,Bank 11,Winner's Vacoas (Reunion),2021-07-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Idle/Freeze,Technician 3,1664.0,WIN REU M 4402 ATM OUT OF SERVICE DATE 31/12/22,NO POWER,CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,6627,83-50299384,4402,6627,ATM - MCB SLA,12982.0,CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,Work Request,Closed,40.0,Closed,Contact MRU,Zone 3 (Upper Plaines Wilhems & South),2017-02-08 00:00:00,6.706849315068493,7 Years old,ATM Interventions,Before 5PM,Mauritius,Sat,,,Dec,2022,00:40:00,2022-12-31 12:15:00,2022-12-31 12:55:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:0:0,113012,Bank 8,Port-Louis Main Branch,2022-04-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Card Reader,Technician 1,3539.0,CASH HANDLER ISSUE DATE 02/1/23,CHECK CASH DISP. CLEAN TRANSPORT SENSORS. REPLACE FILTER. ADJUST GUIDES IN CASS. TYPE 4. REQUEST TI GIVE FEEDBACK. TEST DONE OK.,CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,6634,83-43548811,ATM ID Missing,6634,"Mon-Sat 8:45 to 20:00,Sun & PH 8:45 to 13:00",12994.0,CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,Work Request,Closed,30.0,Closed,Contact MRU,Zone 4 (North&East),2019-10-12 00:00:00,4.032876712328767,4 Years old,ATM Interventions,Before 5PM,Mauritius,Mon,,,Jan,2023,00:30:00,2023-01-02 12:45:00,2023-01-02 13:15:00,Jan
Rakesh,2023-01-04 00:00:00,2023-01-04,0:50,113013,Bank 8,Port-Louis Main Branch,2022-04-ATM-1,Priority 1,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,Card Reader,Technician 1,3539.0,CARD READER ISSUE DATE 02/1/23,"REPAIR + SERVICE CARD READER. CLEAN TRACK, SENSORS & MAGNETIC HEAD CLEAN, CHECK + ADJUST SHUTTER MECH. MULTIPLE TESTS DONE -OK.",CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,6634,83-43548811,ATM ID Missing,6634,"Mon-Sat 8:45 to 20:00,Sun & PH 8:45 to 13:00",12993.0,CHECK AND ADJUST POWER CABLE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.,Work Request,Closed,1180.0,Closed,Contact MRU,Zone 4 (North&East),2018-04-14 00:00:00,5.528767123287671,5 Years old,ATM Interventions,Before 5PM,Mauritius,Mon,,,Jan,2023,00:30:00,2023-01-02 12:40:00,2023-01-02 07:00:00,Jan
Rakesh,2023-01-03 00:00:00,2023-01-04,0:0:0,113014,Bank 9,Bel Air,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 4,1422.0,02.01.2023 5128873 NCR Selfserv 6634 Bel-Air 83-41103442 Currency Dispenser Fatal Mrs. Sheheen 5769 5569,"Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Various Gears Bearing & D-wheel Clear fault Run several test: completed successfully","Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Various Gears Bearing & D-wheel Clear fault Run several test: completed successfully",6634,83-41103442,ATM ID Missing,6634,ATM- SBM SLA,13108.0,"Issue with Cash Handler Trouble shoot: Issue Dismantle module, Replace Various Gears Bearing & D-wheel Clear fault Run several test: completed successfully",Work Request,Closed,120.0,Closed,Contact MRU,Zone 4 (North&East),2019-09-22 00:00:00,4.087671232876712,4 Years old,ATM Interventions,Before 5PM,Mauritius,Mon,,,Jan,2023,02:00:00,2023-01-02 12:45:00,2023-01-02 14:45:00,Jan
Rakesh,2023-01-03 00:00:00,2023-01-04,0:0:0,113015,Bank 9,Rose-Belle,2021-07-ATM-1,Priority missing,99 Days SLA,SST Technicians,Hardware - SST Technicians,ATM Hardware,CashHandler,Technician 3,1353.0,01.01.2023 5128886 NCR Selfserv 6634 Rose-Belle 83-43548935 Too many reject notes Mrs. Gopaul 59057074,CASH DISPENSER,"REPAIRS DONE ON CASH DISPENSER. CLEAR FOREIGN OBJECT FROM PICK MODULE. REPLACE 5 DRIVE GEARS. CLEAN PICK MODULES, PRESENTER AND SENSORS. CLEAN AND LUBRICATE DRIVE ROLLERS, GEARS, SHAFTS AND BEARINGS. ALIGNMENT DONE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.",6634,83-43548935,ATM ID Missing,6634,ATM- SBM SLA,12983.0,"REPAIRS DONE ON CASH DISPENSER. CLEAR FOREIGN OBJECT FROM PICK MODULE. REPLACE 5 DRIVE GEARS. CLEAN PICK MODULES, PRESENTER AND SENSORS. CLEAN AND LUBRICATE DRIVE ROLLERS, GEARS, SHAFTS AND BEARINGS. ALIGNMENT DONE. TESTS RUN UNDER DIAGNOSTICS OK. IN SERVICE TESTS DONE OK.",Work Request,Closed,65.0,Closed,Contact MRU,Zone 3 (Upper Plaines Wilhems & South),2019-09-22 00:00:00,4.087671232876712,4 Years old,ATM Interventions,After 5PM,Mauritius,Sun,,,Jan,2023,01:05:00,2023-01-01 16:45:00,2023-01-01 17:50:00,Jan
